,language,sentences,Dependency_length,Intervener_Complexity,Sentence_length,Memory_load
219,Lithuanian,Atostogautum prie šiltų jūrų su ta pačia arba keičiamom partnerėm.,39,21,10,4
220,Spanish,Y una carta de Riktors Ashen comunica que en veintidós días pasará por la Casa del Canto con el encargo de llevar al Pájaro Cantor a la corte de Mikal.,91,49,30,12
221,Slovenian,da se mu sploh nismo uspeli umakniti,18,8,7,2
222,Japanese,_____________________________________________________________________________________________________________,0,0,1,0
223,Ukranian,"Захід має стати тим самим омріяним містком, розпочати нову музичну традицію як наймолодший із моцартівських фестивалів у Європі (присвячений він, як і спадає на думку, Моцарту, але не Вольфгангу Амадею, а наймолодшому з його синів, композитору Францу Ксаверу Моцарту).",192,84,39,23
224,Danish,Idiot hvis man vil arbejde,10,4,5,1
225,Romanian,"Transmite adresa și citește un operand sursă din memorie, dacă se specifică în instrucțiune, și citește valoarea registrului destinație (ciclul Read).",107,50,21,12
226,French,"La compétition rassemble les neuf meilleurs clubs du pays qui sont regroupés au sein d'une poule unique et s'affrontent quatre fois, deux à domicile et deux à l'extérieur.",133,60,28,15
227,Portuguese,Jônice Tristão afirma que acompanha a vida política de Elcio Álvares há duas décadas.,39,21,14,6
228,French,il est derrière le ballon.,11,5,5,0
229,Greek,"Ο φόβος μου αποδεικνύεται αβάσιμος , γιατί το φαγητό είναι πολύ νόστιμο , και με τις δύο σαλάτες που παράγγειλαν η Κατερίνα με τον Φάνη , μετατρέπεται σε πραγματική απόλαυση.",130,53,30,15
230,Catalan,"Aquest dimecres el nivell de les reserves a les conques internes registrava una mitjana del 48%, tot i que aquesta dada pot resultar enganyosa: mentre a Boadella s'arriba a un nivell del 82% de la capacitat, a la conca del Ter-Llobregat, que subministra el volum de població més important, el nivell de reserva se situa entre el 42 - 45%.",351,164,60,23
231,Slovenian,Ali mu bo Nicoletta lahko uresničila to željo?,21,9,8,2
232,Korean,유럽은 급속하게 발전하였다.,4,3,3,0
233,English,Tips.,1,1,1,0
234,Italian,Liberalizzare pure il #carcere? Secondo il governo #Monti si può http://t.co/P3rB1Lx5,26,14,11,6
235,Croatian,"U utorak, svih pet političkih stranaka zastupljenih u parlamentu, uključujući glavnu opozicijsku stranku desnog centra FIDESZ, osudile su nasilje.",72,34,19,10
236,Dutch,"Is de ""vrije pers"" nog vrij?",19,10,6,3
237,Danish,"Prisen for en køl er henholdsvis 9.000 kr. og 10.000 kr., hvortil kommer en eventuel mast fra John Mast.",58,28,19,15
238,French,"pour pas vous tromper, vous suivez les lignes, euh, de tram, euh, du tram bleu.",72,38,15,10
239,Portuguese,"No caso do Hospital de Faro, onde existe um conflito entre os cardiologistas e a administração, renovou a confiança no órgão de gestão.",72,39,23,12
240,English,"Tonight, I called several times with no answer (Btwn 5:30 and 6 pm) and finally drove there to place my order in person.",98,56,23,18
241,Portuguese,«Isto começou na escola.,9,6,4,2
242,Danish,Erkendelsen faldt dog fra hinanden efter grundige afhøringer hos politiet.,27,14,10,4
243,German,Unter anderem vermisst man eine Zoomfunktion sowie eine Gammakorrekturmöglichkeit schmerzlich .,27,17,11,5
244,Greek,Ο Τζων Ντέμιαντσουκ είχε πιαστεί αιχμάλωτος από τους Γερμανούς κατά τον Β' Παγκόσμιο Πόλεμο και δέχτηκε να βοηθήσει ως δεσμοφύλακας στο στρατόπεδο συγκέντρωσης του Σομπιμπόρ.,81,38,25,14
245,Lithuanian,"Į tai, galimas daiktas, bus pasakyta: „Jūs reikalaujate tolerancijos, bet jūs netolerantiški mums, tikriesiems Lietuvos patriotams“.",76,37,16,12
246,Dutch,Dit alles was min of meer het sein om de verdere hervorming van de staat te vervroegen.,62,30,17,7
247,Japanese,_________________________,0,0,1,0
248,Ukranian,То був останній рік життя дзядзя Михася.,13,10,7,2
249,Croatian,"Dečki se skupe, naprave 2 - 3 treninga i od njih se onda očekuje da u reprezentaciji pruže i više nego u klubu.",82,49,23,15
250,Romanian,"Și întrînd cătră Ia, îngerul zise: Bucură-te în dar îndrăgită, Domnulu-i cu Tine.",56,28,13,14
251,Ukranian,"Однак усі ці успіхи стали можливими лише тому, що вдалося подолати корупцію.",30,18,12,6
252,Chinese,随着鼠疫传播，米兰公爵弗朗索瓦二世逃往蒙扎城堡，蒙扎也跟着受鼠疫传染。,49,33,1,10
253,Italian,I cittadini dei Paesi dell’Unione europea eleggono i deputati del Parlamento europeo ogni 5 anni.,41,24,15,8
254,Catalan,Els socialistes han presentat una proposició perquè el Congrés recolzi la declaració al complir-se un segle del naixement de l'artista.,67,38,20,12
255,French,Ses qualités de vitesse et son sens du but font parler le monde du football.,36,23,15,7
256,English,That's right.,4,3,2,0
257,Italian,"Una provocazione collegata a un recente colloquio con il vicepresidente del Milan, Galliani, il quale ha convenuto con me circa l'insostenibilità della situazione.",85,42,23,13
258,Danish,"""Nu bliver jeg kineser,"" siger datteren i ""Klub Held og Glæde"", da hun kører over den kinesiske grænse.",83,38,18,12
259,Polish,Człowiek wspina się po lodowej ścianie z asekuracją.,23,11,8,4
260,Greek,"Τούτο αποβαίνει κυρίως σε βάρος των ποιοτικών κριτηρίων, ιδίως των κοινωνικών, των οικολογικών και των κριτηρίων που αφορούν τις επιπτώσεις στην υγεία.",69,33,22,16
261,Romanian,"Că unulu-i Dumnezău, carele îndereptează tăiarea împregiur den credință și netăiaria împregiur pren credință.",43,23,14,8
262,Norwagein,Slippe handling.,3,2,2,0
263,Croatian,"Slabost muskulature i nepravilan odnos snaga među pojedinim mišićnim skupinama dovode do prenaprezanja ligamenata, oštećenja hrskavice i kostiju što kao posljedicu ima pojačano trošenje zglobova.",73,42,25,14
264,Romanian,Iară lor li să deșchisără ochii și cunoscură pre El.,22,13,10,3
265,Catalan,Milosevic no ha pogut impedir que la crisi hagi tingut unes repercussions que ja no pot controlar.,54,24,17,10
266,English,i need to fly between philadelphia and atlanta,9,7,8,3
267,Swedish,"När det gäller misstag i fråga om laglighet och korrekthet, så ökar de också.",42,25,14,9
268,Norwagein,Dagen etter gikk 15000 i protesttog mot kuppet i Tsjekkoslovakia.,22,14,10,5
269,English,"But the challenges ahead are equally great, and they, too, will require the support and the efforts of the Congress and the people working in cooperation with the new Administration.",89,48,30,23
270,Norwagein,Og hvordan tar man vare på disse stundene?,18,10,8,1
271,Danish,Som på så mange andre områder synes firsernes fiksering af hurtige penge og overdreven ekspansion at være på retur.,54,29,19,7
272,Spanish,"La plataforma semisumergible ""Regalia"" de Halliburton, que navega desde el pasado día 9 en dirección al lugar del naufragio, tiene previsto iniciar sus trabajos el 19 o el 20 de octubre.",120,59,31,17
273,Catalan,"L'11 de setembre ha plantejat un abans i un després a nivell econòmic, polític, militar, però no en el món de l'educació.",79,44,22,15
274,Croatian,"Želite li doznati nešto više o raznoraznim opasnostima koje danas vrebaju sve računalne korisnike, a pri tome naučiti i kako se zaštititi, onda je ovo web-stranica koju biste definitivno trebali posjetiti.",139,68,31,19
275,Slovenian,Kot zvezna republika je Avstrija razdeljena na devet zveznih dežel.,24,12,10,5
276,German,Yahoo wegen Nazi-Auktionen verklagt,6,5,4,0
277,Portuguese,"Assim, se você está usando uma planilha, por exemplo, pode selecionar parte (ou todo) e levar o que foi selecionado para outra planilha ou qualquer programa que estiver sendo usado.",115,59,30,19
278,Finnish,− Taloudessa on sisämarkkinoissa menty hurjasti eteenpäin.,16,8,7,6
279,Spanish,Son autenticos profesionales de la prevencion de riesgos laborales.,20,12,9,5
280,English,1 Naqsh-e Jahan Square.,12,8,4,4
281,Catalan,Diu que Felipe i Serra van pagar car l'enfrontament amb els dos empresaris.,48,29,13,7
282,Dutch,Annelies Storms,1,1,2,1
283,Danish,"Tirsdag 3. marts om aftenen plyndrede en formentlig professionel jugoslavisk bande en række mondæne ejendomme, mens beboerne var ude.",82,39,19,11
284,Ukranian,Дякую за роботу.,6,4,3,0
285,Danish,"Men det skal dokumenteres, at det har spillet en rolle.",31,16,10,8
286,Korean,"알렉산더 제국은 아드리아해로부터 인도까지 이어졌는데 기술의 중심지인 이집트, 시리아, 메소포타미아 그리고 철학의 중심지인 그리스를 포함했다.",65,43,15,10
287,Swedish,Vårt jordbruksutskott är mycket uppmärksamt på kraven från de yrkesverksamma och samhället.,27,16,12,4
288,Lithuanian,Jūratė Ruzaitė,1,1,2,1
289,Spanish,"Además de Ayllón, los senadores firmantes de la petición son Juan Pablo Herranz y Antonio Collado, de Castilla-La Mancha; Francisco Arnau, Segundo Bru y Angel Franco, de Valencia, y María Antonia Martínez y Manuel Hurtado, de Murcia.",167,74,37,14
290,Portuguese,Menores em bordel encerrado pela PJ,7,5,6,3
291,Danish,(B 130).,7,4,2,2
292,Italian,"@user sì sì a parole sei un fenomeno, nei fatti ... fai danni, vedi la buona scuola, bella porcheria !",75,37,20,13
293,French,"L'utilisation d'un plugin maven pour la partie collecte de données permet, en effet, d'utiliser tous les moteurs d'intégration continue pour automatiser le lancement des analyses.",96,51,25,15
294,Slovenian,"KAMNIK Pri reševanju problemov delavcev, ki so ostali brez zaposlitve zaradi stečaja v podjetju Stol Ambienti, smo tesno sodelovali s kadrovsko službo podjetja.",74,40,23,11
295,Italian,"Quale premio hanno condiviso Yasser Arafat, Shimon Peres e Yitzhak Rabin?",28,17,11,5
296,Chinese,虽然没有求偶的表征，但雄性仍会花上近一小时的时间去追逐异性。,58,33,1,12
297,Portuguese,"Os argelinos, que desempenham um papel preponderante na equipa de Josip Skoblar, chegaram anteontem à noite a Famalicão, quase uma semana depois de a sua equipa ter sido afastada da luta pelo ceptro máximo do futebol africano, tendo já ontem treinado com o resto do plantel famalicense.",169,93,47,20
298,French,Passez faire un tour !,8,6,5,1
299,Romanian,Adevăr zic voao că și- au luat plata sa.,22,12,9,2
300,English,The Sunburn takes two short minutes to cover its full range.,29,16,11,6
301,Dutch,Wie verloor de tweede ronde van de Franse presidentsverkiezingen in 2002?,30,14,11,8
302,Slovenian,kako,0,0,1,0
303,French,"L'équipe de Belgique de football a participé en 2009 à la suite des qualifications pour le Mondial 2010, en Afrique du Sud.",70,37,22,10
304,Romanian,"Iară rînduindu-i lui zi, veniră la el în sălaș mai mulți, cărora mărturisindu-le, spunea Împărățiia lui Dumnezău, îndemnîndu-i pre ei de cealea ce-s de Iisus Hristos, den leagea lui Moisi și den proroci, de demineața pînă sara.",200,102,37,27
305,English,"All of us here, again, salute and profoundly grateful for our law enforcement heroes.",42,26,14,12
306,Japanese,___,2,2,1,2
307,English,"Within five hours John had repaired the engines, but the port officials claimed that the ship was incapacitated and demanded that the captain post a twenty-thousand-dollar bond against expenses that might be run up by his ""crippled ship.""",173,93,38,31
308,Catalan,"Segons UP, Ceña es va mostrar receptiu en col·laborar per tal que es compleixin les normatives establertes a l'efecte.",66,31,19,18
309,French,"Partout où les Phéniciens se rendaient, ils élevaient des chapelles à leurs divinités, dont le dieu Melkart, associé à Hercule ou Héraclès par les Romains ou les Grecs.",102,51,28,17
310,Danish,MEDARB = jid KILDE = met,8,7,6,4
311,Portuguese,"Talvez não seja de estranhar, aliás, que as novas campeãs da corrida sejam originárias da China, o país mais populoso do mundo -- onde o universo da escolha é potencialmente maior do que em qualquer outro país do Mundo.",162,76,39,22
312,Portuguese,"O prefeito de São Paulo, Paulo Maluf (PPR), e o candidato derrotado do PMDB à Presidência, Orestes Quércia, também não quiseram comentar o resultado.",94,47,24,14
313,Finnish,Jaana ja Sami Vatanen haluavat pysyä keskisuomalaisina .,13,10,8,2
314,Finnish,hyvää matkaa .,2,2,3,0
315,German,Was wird,1,1,2,0
316,Italian,La combinata è un tipo di gara dello sci alpino.,20,13,10,6
317,Finnish,Samuli Sirviö on arvostellut levyjä Noise- ja Hengis-sivustoille.,16,11,8,2
318,Danish,"Og når de var det, skyldtes det ganske enkelt, at fangevogterne brugte dem som undskyldning for ikke at blive sendt til fronten.",76,38,22,17
319,Polish,Kaspar Furt wcale o tym nie wiedział.,16,11,7,0
320,German,"Drei Webkameras im Auto garantieren dem Hersteller zufolge jederzeit eine Live-Bild-Übertragung , während das GPS-Ortungssystem die weltweite Ortung des Fahrzeugs gewährleistet .",80,50,22,10
321,Norwagein,Vi blir overvåket.,4,3,3,0
322,English,Be careful.,3,2,2,0
323,Portuguese,"Confira algumas (preços por pessoa, pesquisados na semana passada):",27,17,9,6
